epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,607.868,2.30924,3.26332,3.13968,0.30772,0.25355,0.21851,0.08938,1.91071,3.0007,3.08533,0.000331237,0.000331237,0.000331237
2,1300.83,1.95641,2.63284,3.0502,0.47132,0.32274,0.25778,0.10518,1.90104,2.97513,3.05579,0.000651412,0.000651412,0.000651412
3,2288.76,1.87924,2.4782,3.06623,0.28272,0.30474,0.24196,0.09956,1.89946,2.91438,3.11409,0.000958387,0.000958387,0.000958387
4,3817.34,1.82712,2.41669,3.04296,0.31708,0.33453,0.30285,0.13379,1.84771,2.57136,2.98415,0.0009406,0.0009406,0.0009406
5,5353.91,1.77105,2.3598,2.98889,0.4862,0.3321,0.27742,0.11977,1.91257,2.60453,3.0917,0.0009208,0.0009208,0.0009208
6,6720.35,1.74757,2.30098,2.99845,0.32266,0.36829,0.32215,0.15465,1.75791,2.47464,3.03911,0.000901,0.000901,0.000901
7,7380.35,1.70177,2.22324,2.94627,0.57761,0.32589,0.32545,0.15368,1.77342,2.56547,2.98653,0.0008812,0.0008812,0.0008812
8,8063.63,1.69184,2.18125,2.96708,0.55227,0.3595,0.32215,0.15831,1.78537,2.40248,2.96584,0.0008614,0.0008614,0.0008614
9,8995.61,1.65193,2.13842,2.9272,0.55939,0.38153,0.37135,0.18416,1.75931,2.22338,2.97837,0.0008416,0.0008416,0.0008416
10,10380.3,1.62723,2.07073,2.90485,0.52397,0.38692,0.35876,0.17274,1.78199,2.27424,3.02032,0.0008218,0.0008218,0.0008218
11,11393,1.61498,2.0586,2.89738,0.51454,0.3865,0.38816,0.19067,1.70405,2.22478,2.99877,0.000802,0.000802,0.000802
12,12047.8,1.59675,2.03264,2.87859,0.58313,0.38655,0.41152,0.18493,1.74581,2.114,3.00469,0.0007822,0.0007822,0.0007822
13,12736.9,1.58329,2.00808,2.8798,0.54298,0.36387,0.4226,0.22239,1.72344,2.16235,2.9741,0.0007624,0.0007624,0.0007624
14,14085,1.57067,1.96985,2.87613,0.53503,0.40365,0.39432,0.2035,1.68529,2.20722,2.95811,0.0007426,0.0007426,0.0007426
15,15216.8,1.53496,1.93458,2.82192,0.58175,0.37585,0.42113,0.22902,1.70794,2.04045,2.99944,0.0007228,0.0007228,0.0007228
16,16023,1.52191,1.88602,2.83213,0.57803,0.38503,0.39927,0.20775,1.71912,2.1854,3.01342,0.000703,0.000703,0.000703
17,16670.4,1.50801,1.85433,2.8011,0.56436,0.34354,0.43358,0.22478,1.76377,2.40624,3.03222,0.0006832,0.0006832,0.0006832
18,17323.1,1.51778,1.84812,2.81704,0.44214,0.45942,0.42885,0.23679,1.65647,1.95777,3.00858,0.0006634,0.0006634,0.0006634
19,18025.7,1.49391,1.82228,2.7945,0.59103,0.3891,0.37815,0.20073,1.7021,2.01339,3.0029,0.0006436,0.0006436,0.0006436
20,18782.2,1.47595,1.79884,2.79949,0.60915,0.35631,0.40448,0.20984,1.67909,2.04195,2.9928,0.0006238,0.0006238,0.0006238
21,19480.4,1.46118,1.7621,2.76964,0.43286,0.49324,0.41114,0.22039,1.71124,2.20197,3.0195,0.000604,0.000604,0.000604
22,20175.6,1.46269,1.77516,2.76892,0.50536,0.45071,0.43112,0.23129,1.69572,2.02488,3.01069,0.0005842,0.0005842,0.0005842
23,20870.7,1.43851,1.74098,2.75874,0.51465,0.41458,0.42889,0.2362,1.65919,2.01584,2.9742,0.0005644,0.0005644,0.0005644
24,21568.8,1.44125,1.71934,2.75235,0.53073,0.39038,0.41567,0.22361,1.67481,1.95563,2.97294,0.0005446,0.0005446,0.0005446
25,22264.8,1.40562,1.66386,2.72091,0.61124,0.431,0.41398,0.23126,1.64496,2.00351,2.98054,0.0005248,0.0005248,0.0005248
26,22960.6,1.41735,1.68672,2.71863,0.50551,0.45518,0.40972,0.2273,1.68644,2.03766,3.02718,0.000505,0.000505,0.000505
27,23656.6,1.39859,1.64085,2.72551,0.57589,0.43714,0.4623,0.23702,1.64032,2.01732,2.99443,0.0004852,0.0004852,0.0004852
28,24354.5,1.38123,1.60735,2.68519,0.50052,0.484,0.44587,0.25064,1.65381,1.92733,2.92545,0.0004654,0.0004654,0.0004654
29,25050.1,1.35865,1.58113,2.68078,0.50892,0.41882,0.42163,0.23539,1.62987,2.08948,2.96793,0.0004456,0.0004456,0.0004456
30,25742.4,1.36855,1.58824,2.70134,0.5812,0.3974,0.42133,0.23624,1.65678,2.02922,2.95714,0.0004258,0.0004258,0.0004258
31,26436,1.37747,1.59444,2.68723,0.5921,0.43665,0.44651,0.24389,1.64697,1.92805,2.98618,0.000406,0.000406,0.000406
32,27133.1,1.35535,1.55508,2.65711,0.44856,0.45517,0.41126,0.23578,1.64804,1.97775,2.96721,0.0003862,0.0003862,0.0003862
33,27830.3,1.33672,1.54404,2.65054,0.60387,0.41812,0.43651,0.24355,1.6568,1.9177,2.98409,0.0003664,0.0003664,0.0003664
34,28526,1.33764,1.52787,2.64246,0.4737,0.51642,0.44584,0.25067,1.6784,2.00935,2.95479,0.0003466,0.0003466,0.0003466
35,29225,1.33575,1.5349,2.66526,0.50696,0.42303,0.41726,0.23783,1.63271,1.89735,2.95096,0.0003268,0.0003268,0.0003268
36,29923.9,1.31503,1.50305,2.63042,0.55356,0.44344,0.42718,0.23719,1.66237,1.94701,2.99069,0.000307,0.000307,0.000307
37,30619.5,1.30453,1.4769,2.62358,0.5689,0.44762,0.4281,0.23847,1.65166,1.99643,3.01358,0.0002872,0.0002872,0.0002872
38,31320.1,1.30004,1.47499,2.61713,0.5508,0.43669,0.42393,0.24221,1.65829,1.97417,2.97423,0.0002674,0.0002674,0.0002674
39,32017.6,1.30508,1.4633,2.60673,0.52983,0.43157,0.42761,0.24035,1.65834,1.91551,2.99899,0.0002476,0.0002476,0.0002476
40,32717.1,1.2902,1.45281,2.60325,0.56399,0.4117,0.42928,0.24318,1.62814,1.89176,2.96975,0.0002278,0.0002278,0.0002278
41,33397.1,1.23315,1.35878,2.64115,0.5953,0.40762,0.4239,0.24982,1.6214,1.91148,2.97337,0.000208,0.000208,0.000208
42,34070.8,1.19378,1.29204,2.59356,0.57411,0.40904,0.43567,0.25977,1.64542,1.9042,2.96645,0.0001882,0.0001882,0.0001882
43,34750.2,1.18929,1.25877,2.56911,0.55172,0.42279,0.4333,0.24269,1.63708,1.90681,2.99397,0.0001684,0.0001684,0.0001684
1,728.552,2.30924,3.26332,3.13968,0.30772,0.25355,0.21851,0.08938,1.91071,3.0007,3.08533,0.000331237,0.000331237,0.000331237
2,1423.51,1.95837,2.63497,3.05121,0.27508,0.31719,0.24611,0.10225,1.94883,2.8667,3.05712,0.000651412,0.000651412,0.000651412
3,2116.67,1.87916,2.48034,3.06203,0.32304,0.30703,0.2686,0.105,1.97329,2.67228,3.15213,0.000958387,0.000958387,0.000958387
4,2810.17,1.81963,2.42047,3.03798,0.32243,0.33813,0.30256,0.13002,1.81613,2.64751,3.00402,0.0009406,0.0009406,0.0009406
5,3503.25,1.77897,2.35364,2.99577,0.45757,0.35413,0.27271,0.12452,1.82521,2.69185,3.06815,0.0009208,0.0009208,0.0009208
6,4197.57,1.74859,2.30489,2.99686,0.33334,0.35893,0.31968,0.14566,1.78232,2.61037,2.99613,0.000901,0.000901,0.000901
7,4892.55,1.70669,2.22053,2.95133,0.34895,0.37464,0.33337,0.15462,1.76836,2.49779,3.00917,0.0008812,0.0008812,0.0008812
8,5587.86,1.69151,2.18375,2.97592,0.5474,0.36498,0.32747,0.15523,1.81412,2.2878,2.99355,0.0008614,0.0008614,0.0008614
9,6280.53,1.65587,2.14428,2.9308,0.53635,0.35327,0.33256,0.165,1.79496,2.29631,3.00704,0.0008416,0.0008416,0.0008416
10,6981.3,1.62922,2.07571,2.9116,0.57265,0.37866,0.36288,0.17399,1.76339,2.29632,2.98722,0.0008218,0.0008218,0.0008218
11,7678.98,1.61558,2.05597,2.89291,0.53396,0.37511,0.35619,0.18497,1.73698,2.34346,3.02463,0.000802,0.000802,0.000802
12,8374.29,1.59408,2.03216,2.88357,0.55378,0.37534,0.39367,0.17852,1.78376,2.18735,3.03258,0.0007822,0.0007822,0.0007822
13,9072.89,1.58365,2.00693,2.88535,0.60844,0.35858,0.39257,0.20591,1.70152,2.19427,2.96569,0.0007624,0.0007624,0.0007624
14,9770.28,1.56714,1.97661,2.87434,0.58437,0.37245,0.36707,0.19581,1.69512,2.18647,2.99423,0.0007426,0.0007426,0.0007426
15,10466.6,1.53822,1.94283,2.83307,0.51385,0.41253,0.39907,0.20936,1.70753,2.10042,2.98347,0.0007228,0.0007228,0.0007228
16,11160.8,1.51777,1.89269,2.83234,0.42926,0.45559,0.40045,0.20777,1.69061,2.15402,2.98803,0.000703,0.000703,0.000703
17,11854,1.51009,1.8521,2.80768,0.56357,0.35895,0.38339,0.19532,1.75759,2.32292,3.0257,0.0006832,0.0006832,0.0006832
18,12546.6,1.5187,1.85133,2.82247,0.54616,0.40809,0.41559,0.22302,1.61768,2.03645,2.93381,0.0006634,0.0006634,0.0006634
19,13241.2,1.48497,1.8149,2.79481,0.61584,0.3757,0.4142,0.22277,1.67893,2.0187,2.99493,0.0006436,0.0006436,0.0006436
20,13931.6,1.46937,1.7918,2.80024,0.48316,0.49816,0.42245,0.20979,1.66159,2.03122,2.97059,0.0006238,0.0006238,0.0006238
21,14622,1.45875,1.75798,2.76904,0.50325,0.47433,0.4211,0.23216,1.6417,2.09037,2.97551,0.000604,0.000604,0.000604
22,15316.3,1.4657,1.77316,2.78064,0.63765,0.37336,0.42188,0.22397,1.64971,2.04653,2.99743,0.0005842,0.0005842,0.0005842
23,16005.5,1.43648,1.7382,2.76098,0.56151,0.44667,0.44671,0.23533,1.6714,1.97907,3.00444,0.0005644,0.0005644,0.0005644
24,16695.9,1.44504,1.71377,2.75995,0.6076,0.45476,0.46312,0.24179,1.62178,2.02744,2.92349,0.0005446,0.0005446,0.0005446
25,17390.5,1.40855,1.66384,2.73042,0.50705,0.46332,0.42356,0.22301,1.63643,2.01344,2.94822,0.0005248,0.0005248,0.0005248
26,18086.6,1.4183,1.68655,2.72733,0.57262,0.43273,0.43399,0.22862,1.66786,2.04626,2.97324,0.000505,0.000505,0.000505
27,18780.8,1.39335,1.64012,2.72554,0.58487,0.42089,0.44453,0.251,1.6265,1.94284,2.97459,0.0004852,0.0004852,0.0004852
28,19475.4,1.37456,1.60577,2.67999,0.54857,0.43064,0.42131,0.23605,1.6716,1.96539,2.97353,0.0004654,0.0004654,0.0004654
